feature,feature_group,non_null_rows,selection_threshold_rows,distinct_values,selected,reason
fact_id,numeric,251999,125999,259002,yes,eligible
job_number,numeric,251999,125999,170324,yes,eligible
doc_number,numeric,251999,125999,13,yes,eligible
house_number,categorical,251998,125999,17472,no,high_cardinality
street_name,categorical,251998,125999,13541,no,high_cardinality
block,numeric,251921,125999,12112,yes,eligible
lot,numeric,251925,125999,1201,yes,eligible
bin_number,numeric,251999,125999,92111,yes,eligible
job_type,categorical,251999,125999,8,yes,eligible
job_status,categorical,251999,125999,2,no,target
job_status_descr,categorical,251999,125999,2,no,target
latest_action_date,time,251949,125999,6893,no,leakage
building_type,categorical,251999,125999,2,yes,eligible
community_board,categorical,251602,125999,80,yes,eligible
cluster,categorical,153410,125999,2,yes,eligible
landmarked,categorical,235478,125999,4,yes,eligible
adult_estab,categorical,218773,125999,2,yes,eligible
loft_board,categorical,198235,125999,2,yes,eligible
city_owned,categorical,14281,125999,1,yes,eligible
little_e,categorical,145548,125999,3,yes,eligible
pc_filed,categorical,86792,125999,2,yes,eligible
efiling_filed,categorical,146069,125999,1,yes,eligible
plumbing,categorical,80056,125999,1,yes,eligible
mechanical,categorical,35363,125999,1,yes,eligible
boiler,categorical,5430,125999,1,yes,eligible
fuel_burning,categorical,755,125999,1,yes,eligible
fuel_storage,categorical,1132,125999,1,yes,eligible
standpipe,categorical,2873,125999,1,yes,eligible
sprinkler,categorical,23707,125999,1,yes,eligible
fire_alarm,categorical,11183,125999,1,yes,eligible
equipment,categorical,26400,125999,1,yes,eligible
fire_suppression,categorical,2985,125999,1,yes,eligible
curb_cut,categorical,13094,125999,1,yes,eligible
other,categorical,167315,125999,1,yes,eligible
other_description,categorical,167120,125999,3888,no,high_cardinality
applicant_first_name,categorical,251990,125999,5633,no,high_cardinality
applicant_last_name,categorical,251999,125999,13256,no,high_cardinality
applicant_professional_title,categorical,251986,125999,189,yes,eligible
applicant_license,categorical,250031,125999,11476,no,high_cardinality
professional_cert,categorical,178382,125999,2,yes,eligible
pre_filing_date,time,251999,125999,6583,yes,eligible
paid,time,251420,125999,6624,no,leakage
fully_paid,time,251958,125999,6748,no,leakage
assigned,time,210374,125999,6534,no,leakage
approved,time,114573,125999,6368,no,leakage
fully_permitted,time,214,125999,135,no,leakage
initial_cost,numeric,0,125999,0,yes,eligible
total_est_fee,numeric,0,125999,0,yes,eligible
fee_status,categorical,251999,125999,3,no,leakage
existing_zoning_sqft,numeric,251999,125999,8922,yes,eligible
proposed_zoning_sqft,numeric,251999,125999,11415,yes,eligible
horizontal_enlrgmt,categorical,13468,125999,2,yes,eligible
vertical_enlrgmt,categorical,9030,125999,1,yes,eligible
enlargement_sqft,numeric,251999,125999,3752,yes,eligible
street_frontage,numeric,251999,125999,583,yes,eligible
existing_no_of_stories,numeric,251999,125999,95,yes,eligible
proposed_no_of_stories,numeric,251999,125999,130,yes,eligible
existing_height,numeric,251999,125999,675,yes,eligible
proposed_height,numeric,251999,125999,722,yes,eligible
existing_dwelling_units,numeric,82558,125999,730,yes,eligible
proposed_dwelling_units,numeric,129629,125999,756,yes,eligible
existing_occupancy,categorical,169093,125999,39,yes,eligible
proposed_occupancy,categorical,160057,125999,39,yes,eligible
site_fill,categorical,202341,125999,5,yes,eligible
zoning_dist1,categorical,208937,125999,199,yes,eligible
zoning_dist2,categorical,23767,125999,162,yes,eligible
zoning_dist3,categorical,1141,125999,91,yes,eligible
special_district1,categorical,30110,125999,105,yes,eligible
special_district2,categorical,12282,125999,14,yes,eligible
owner_type,categorical,243682,125999,14,yes,eligible
non_profit,categorical,244005,125999,2,yes,eligible
owner_first_name,categorical,251999,125999,22904,no,high_cardinality
owner_last_name,categorical,251999,125999,43964,no,high_cardinality
owner_business_name,categorical,244373,125999,71996,no,high_cardinality
owner_house_number,categorical,50,125999,49,no,high_cardinality
owner_house_street_name,categorical,50,125999,48,no,high_cardinality
city,categorical,50,125999,18,yes,eligible
state,categorical,50,125999,1,yes,eligible
zip,categorical,50,125999,36,yes,eligible
owner_phone,categorical,249456,125999,73915,no,high_cardinality
job_description,categorical,220954,125999,136632,no,high_cardinality
dobrundate,categorical,251999,125999,957,no,leakage
job_s1_no,categorical,251999,125999,242457,no,high_cardinality
total_construction_floor_area,numeric,251999,125999,11042,yes,eligible
withdrawal_flag,categorical,251999,125999,5,no,leakage
signoff_date,time,11,125999,7,no,leakage
special_action_status,categorical,246239,125999,4,no,leakage
special_action_date,time,122975,125999,6006,no,leakage
building_class,categorical,248941,125999,201,yes,eligible
job_no_good_count,numeric,251999,125999,7,no,leakage
gis_latitude,geospatial,250447,125999,71149,yes,eligible
gis_longitude,geospatial,250447,125999,79578,yes,eligible
gis_council_district,categorical,250447,125999,50,yes,eligible
gis_census_tract,categorical,250447,125999,1264,no,high_cardinality
gis_nta_name,categorical,250447,125999,196,yes,eligible
gis_bin,categorical,246154,125999,80469,no,high_cardinality
created_at,numeric,251999,125999,1,yes,eligible
borough,categorical,251999,125999,5,yes,eligible
