feature,feature_group,non_null_rows,selection_threshold_rows,distinct_values,selected
fact_id,numeric,251999,125999,259002,yes
job_number,numeric,251999,125999,170324,yes
doc_number,numeric,251999,125999,13,yes
house_number,categorical,251998,125999,17472,no
street_name,categorical,251998,125999,13541,no
block,numeric,251921,125999,12112,yes
lot,numeric,251925,125999,1201,yes
bin_number,numeric,251999,125999,92111,yes
job_type,categorical,251999,125999,8,yes
job_status,categorical,251999,125999,2,no
job_status_descr,categorical,251999,125999,2,no
latest_action_date,time,251949,125999,6893,no
building_type,categorical,251999,125999,2,yes
community_board,categorical,251602,125999,80,yes
cluster,categorical,153410,125999,2,yes
landmarked,categorical,235478,125999,4,yes
adult_estab,categorical,218773,125999,2,yes
loft_board,categorical,198235,125999,2,yes
city_owned,categorical,14281,125999,1,no
little_e,categorical,145548,125999,3,yes
pc_filed,categorical,86792,125999,2,no
efiling_filed,categorical,146069,125999,1,yes
plumbing,categorical,80056,125999,1,no
mechanical,categorical,35363,125999,1,no
boiler,categorical,5430,125999,1,no
fuel_burning,categorical,755,125999,1,no
fuel_storage,categorical,1132,125999,1,no
standpipe,categorical,2873,125999,1,no
sprinkler,categorical,23707,125999,1,no
fire_alarm,categorical,11183,125999,1,no
equipment,categorical,26400,125999,1,no
fire_suppression,categorical,2985,125999,1,no
curb_cut,categorical,13094,125999,1,no
other,categorical,167315,125999,1,yes
other_description,categorical,167120,125999,3888,no
applicant_first_name,categorical,251990,125999,5633,no
applicant_last_name,categorical,251999,125999,13256,no
applicant_professional_title,categorical,251986,125999,189,yes
applicant_license,categorical,250031,125999,11476,no
professional_cert,categorical,178382,125999,2,yes
pre_filing_date,time,251999,125999,6583,yes
paid,time,251420,125999,6624,no
fully_paid,time,251958,125999,6748,no
assigned,time,210374,125999,6534,no
approved,time,114573,125999,6368,no
fully_permitted,time,214,125999,135,no
initial_cost,numeric,0,125999,0,no
total_est_fee,numeric,0,125999,0,no
fee_status,categorical,251999,125999,3,no
existing_zoning_sqft,numeric,251999,125999,8922,yes
proposed_zoning_sqft,numeric,251999,125999,11415,yes
horizontal_enlrgmt,categorical,13468,125999,2,no
vertical_enlrgmt,categorical,9030,125999,1,no
enlargement_sqft,numeric,251999,125999,3752,yes
street_frontage,numeric,251999,125999,583,yes
existing_no_of_stories,numeric,251999,125999,95,yes
proposed_no_of_stories,numeric,251999,125999,130,yes
existing_height,numeric,251999,125999,675,yes
proposed_height,numeric,251999,125999,722,yes
existing_dwelling_units,numeric,82558,125999,730,no
proposed_dwelling_units,numeric,129629,125999,756,yes
existing_occupancy,categorical,169093,125999,39,yes
proposed_occupancy,categorical,160057,125999,39,yes
site_fill,categorical,202341,125999,5,yes
zoning_dist1,categorical,208937,125999,199,yes
zoning_dist2,categorical,23767,125999,162,no
zoning_dist3,categorical,1141,125999,91,no
special_district1,categorical,30110,125999,105,no
special_district2,categorical,12282,125999,14,no
owner_type,categorical,243682,125999,14,yes
non_profit,categorical,244005,125999,2,yes
owner_first_name,categorical,251999,125999,22904,no
owner_last_name,categorical,251999,125999,43964,no
owner_business_name,categorical,244373,125999,71996,no
owner_house_number,categorical,50,125999,49,no
owner_house_street_name,categorical,50,125999,48,no
city,categorical,50,125999,18,no
state,categorical,50,125999,1,no
zip,categorical,50,125999,36,no
owner_phone,categorical,249456,125999,73915,no
job_description,categorical,220954,125999,136632,no
dobrundate,categorical,251999,125999,957,no
job_s1_no,categorical,251999,125999,242457,no
total_construction_floor_area,numeric,251999,125999,11042,yes
withdrawal_flag,categorical,251999,125999,5,no
signoff_date,time,11,125999,7,no
special_action_status,categorical,246239,125999,4,no
special_action_date,time,122975,125999,6006,no
building_class,categorical,248941,125999,201,yes
job_no_good_count,numeric,251999,125999,7,no
gis_latitude,geospatial,250447,125999,71149,yes
gis_longitude,geospatial,250447,125999,79578,yes
gis_council_district,categorical,250447,125999,50,yes
gis_census_tract,categorical,250447,125999,1264,no
gis_nta_name,categorical,250447,125999,196,yes
gis_bin,categorical,246154,125999,80469,no
created_at,numeric,251999,125999,1,yes
borough,categorical,251999,125999,5,yes
