feature_set,model,param_set,reg_param,elastic_net_param,num_trees,max_depth,cv_area_under_roc,is_best
full,LogisticRegression,1,0.0,0.0,"","",0.8190209378209856,no
full,LogisticRegression,2,0.0,0.5,"","",0.8190212372533461,no
full,LogisticRegression,3,0.0,1.0,"","",0.8190215279000557,yes
full,LogisticRegression,4,0.01,0.0,"","",0.8132659491986964,no
full,LogisticRegression,5,0.01,0.5,"","",0.8051640763756893,no
full,LogisticRegression,6,0.01,1.0,"","",0.7967969975777429,no
full,LogisticRegression,7,0.1,0.0,"","",0.8076514841764646,no
full,LogisticRegression,8,0.1,0.5,"","",0.7610667562264744,no
full,LogisticRegression,9,0.1,1.0,"","",0.6721493529618536,no
full,RandomForestClassifier,1,"","",10,5,0.7633171508677343,no
full,RandomForestClassifier,2,"","",10,10,0.8048340063682458,no
full,RandomForestClassifier,3,"","",10,15,0.8295611623878871,no
full,RandomForestClassifier,4,"","",20,5,0.7849188360815182,no
full,RandomForestClassifier,5,"","",20,10,0.8143034756597531,no
full,RandomForestClassifier,6,"","",20,15,0.8367321037647677,no
full,RandomForestClassifier,7,"","",30,5,0.7847093123921463,no
full,RandomForestClassifier,8,"","",30,10,0.8168844825626349,no
full,RandomForestClassifier,9,"","",30,15,0.8394325224723387,yes
variance,LogisticRegression,1,0.0,0.0,"","",0.7919545844376379,no
variance,LogisticRegression,2,0.0,0.5,"","",0.7919549576079323,yes
variance,LogisticRegression,3,0.0,1.0,"","",0.7919535301021796,no
variance,LogisticRegression,4,0.01,0.0,"","",0.7826940329408427,no
variance,LogisticRegression,5,0.01,0.5,"","",0.7736859269456631,no
variance,LogisticRegression,6,0.01,1.0,"","",0.7591832943365282,no
variance,LogisticRegression,7,0.1,0.0,"","",0.7705467873029076,no
variance,LogisticRegression,8,0.1,0.5,"","",0.7247317356907408,no
variance,LogisticRegression,9,0.1,1.0,"","",0.6721493529618536,no
variance,RandomForestClassifier,1,"","",10,5,0.7737450399674486,no
variance,RandomForestClassifier,2,"","",10,10,0.8174459561373788,no
variance,RandomForestClassifier,3,"","",10,15,0.8540108432788243,no
variance,RandomForestClassifier,4,"","",20,5,0.7789559073876724,no
variance,RandomForestClassifier,5,"","",20,10,0.8240886407174567,no
variance,RandomForestClassifier,6,"","",20,15,0.8611972895747,no
variance,RandomForestClassifier,7,"","",30,5,0.7805059125687943,no
variance,RandomForestClassifier,8,"","",30,10,0.8248874183615383,no
variance,RandomForestClassifier,9,"","",30,15,0.8633244334042158,yes
coverage_variance,LogisticRegression,1,0.0,0.0,"","",0.7856248514684744,yes
coverage_variance,LogisticRegression,2,0.0,0.5,"","",0.785620785765766,no
coverage_variance,LogisticRegression,3,0.0,1.0,"","",0.7856225977793092,no
coverage_variance,LogisticRegression,4,0.01,0.0,"","",0.7764431246446004,no
coverage_variance,LogisticRegression,5,0.01,0.5,"","",0.7668929605211176,no
coverage_variance,LogisticRegression,6,0.01,1.0,"","",0.7544497122739702,no
coverage_variance,LogisticRegression,7,0.1,0.0,"","",0.764783795375295,no
coverage_variance,LogisticRegression,8,0.1,0.5,"","",0.7247317356907408,no
coverage_variance,LogisticRegression,9,0.1,1.0,"","",0.6721493529618536,no
coverage_variance,RandomForestClassifier,1,"","",10,5,0.7731245550682792,no
coverage_variance,RandomForestClassifier,2,"","",10,10,0.8138055061867298,no
coverage_variance,RandomForestClassifier,3,"","",10,15,0.8477311878481234,no
coverage_variance,RandomForestClassifier,4,"","",20,5,0.7749153631860335,no
coverage_variance,RandomForestClassifier,5,"","",20,10,0.8180296905128603,no
coverage_variance,RandomForestClassifier,6,"","",20,15,0.8547896753463691,no
coverage_variance,RandomForestClassifier,7,"","",30,5,0.7753248439008067,no
coverage_variance,RandomForestClassifier,8,"","",30,10,0.8163698437566689,no
coverage_variance,RandomForestClassifier,9,"","",30,15,0.8566109408811344,yes
coverage_variance_chisq,LogisticRegression,1,0.0,0.0,"","",0.7735008481975096,yes
coverage_variance_chisq,LogisticRegression,2,0.0,0.5,"","",0.7735003000860101,no
coverage_variance_chisq,LogisticRegression,3,0.0,1.0,"","",0.7734981600258377,no
coverage_variance_chisq,LogisticRegression,4,0.01,0.0,"","",0.7718438193012147,no
coverage_variance_chisq,LogisticRegression,5,0.01,0.5,"","",0.7639779701874636,no
coverage_variance_chisq,LogisticRegression,6,0.01,1.0,"","",0.7550685294753361,no
coverage_variance_chisq,LogisticRegression,7,0.1,0.0,"","",0.7609634836802308,no
coverage_variance_chisq,LogisticRegression,8,0.1,0.5,"","",0.7317993170624276,no
coverage_variance_chisq,LogisticRegression,9,0.1,1.0,"","",0.6721493529618536,no
coverage_variance_chisq,RandomForestClassifier,1,"","",10,5,0.7698915004772893,no
coverage_variance_chisq,RandomForestClassifier,2,"","",10,10,0.8076594474887251,no
coverage_variance_chisq,RandomForestClassifier,3,"","",10,15,0.8235337371455009,no
coverage_variance_chisq,RandomForestClassifier,4,"","",20,5,0.7712203673012479,no
coverage_variance_chisq,RandomForestClassifier,5,"","",20,10,0.8097834304020923,no
coverage_variance_chisq,RandomForestClassifier,6,"","",20,15,0.825993438414122,no
coverage_variance_chisq,RandomForestClassifier,7,"","",30,5,0.7672405468054835,no
coverage_variance_chisq,RandomForestClassifier,8,"","",30,10,0.8106955230285793,no
coverage_variance_chisq,RandomForestClassifier,9,"","",30,15,0.8274403952275643,yes
