model,param_set,reg_param,elastic_net_param,num_trees,max_depth,cv_area_under_roc,is_best
LogisticRegression,1,0.0,0.0,"","",0.7735008481975096,yes
LogisticRegression,2,0.0,0.5,"","",0.7735003000860101,no
LogisticRegression,3,0.0,1.0,"","",0.7734981600258377,no
LogisticRegression,4,0.01,0.0,"","",0.7718438193012147,no
LogisticRegression,5,0.01,0.5,"","",0.7639779701874636,no
LogisticRegression,6,0.01,1.0,"","",0.7550685294753361,no
LogisticRegression,7,0.1,0.0,"","",0.7609634836802308,no
LogisticRegression,8,0.1,0.5,"","",0.7317993170624276,no
LogisticRegression,9,0.1,1.0,"","",0.6721493529618536,no
RandomForestClassifier,1,"","",10,5,0.7698915004772893,no
RandomForestClassifier,2,"","",10,10,0.8076594474887251,no
RandomForestClassifier,3,"","",10,15,0.8235337371455009,no
RandomForestClassifier,4,"","",20,5,0.7712203673012479,no
RandomForestClassifier,5,"","",20,10,0.8097834304020923,no
RandomForestClassifier,6,"","",20,15,0.825993438414122,no
RandomForestClassifier,7,"","",30,5,0.7672405468054835,no
RandomForestClassifier,8,"","",30,10,0.8106955230285793,no
RandomForestClassifier,9,"","",30,15,0.8274403952275643,yes
