borough,job_type,approval_rate,n
BROOKLYN,A1,0.35674193136879706,15678
BROOKLYN,A2,0.5828310799804528,30695
BROOKLYN,NB,0.42396861253120915,8411
MANHATTAN,SC,0.0,184
BRONX,SC,0.0,15
MANHATTAN,A2,0.6095833990570833,57057
QUEENS,A3,0.4239989958579139,7967
STATEN ISLAND,A3,0.43264733395696914,2138
BRONX,SI,0.020737327188940093,434
MANHATTAN,DM,1.0,1
STATEN ISLAND,PA,0.5121951219512195,369
BRONX,A2,0.6395278187657322,11521
STATEN ISLAND,A1,0.4008298755186722,2410
BRONX,PA,0.5358166189111748,1047
STATEN ISLAND,SI,0.03333333333333333,240
BRONX,A3,0.4142331288343558,4075
STATEN ISLAND,A2,0.6290780141843971,5640
BROOKLYN,PA,0.546972049689441,2576
MANHATTAN,SI,0.004739336492890996,211
BRONX,A1,0.350866075200676,4734
MANHATTAN,A3,0.6643202442540921,11791
QUEENS,A2,0.5833366348401411,25241
QUEENS,PA,0.6101438304314913,2642
BROOKLYN,SC,0.0,265
QUEENS,NB,0.3942850688954145,8854
QUEENS,A1,0.37488596376906036,15346
QUEENS,SC,0.0,100
BRONX,NB,0.46771929824561403,2850
QUEENS,SI,0.0,652
STATEN ISLAND,NB,0.5220189701897019,2952
MANHATTAN,NB,0.43554603854389723,2335
BROOKLYN,A3,0.36488205931290985,10217
MANHATTAN,PA,0.49974696356275305,3952
MANHATTAN,A1,0.35550567107750475,8464
STATEN ISLAND,SC,0.0,2
BROOKLYN,SI,0.0,933
