professional_cert,owner_type,approval_rate,n
N,\N,0.5949197860962567,748
N,CONDO/CO-OP,0.5329784087548063,3381
Y,PARTNERSHIP,0.8869757174392936,11325
Y,CORPORATION,0.8705773319522434,18343
Y,OTHER GOV'T AGENCY,0.908051689860835,2012
N,DCAS,0.4482758620689655,145
N,PARTNERSHIP,0.37412030831099197,23872
N,INDIVIDUAL,0.33589562281882257,43841
Y,HPD,0.7640449438202247,89
Y,\N,0.9397186872069658,1493
Y,NYCHA,0.9588688946015425,389
N,OTHER,0.3753943217665615,634
Y,DCAS,0.9333333333333333,45
N,DOE,0.5,22
N,NYCHA/HHC,0.6056497175141243,885
N,OTHER GOV'T AGENCY,0.48123436196830693,2398
N,HHC,0.5166666666666667,120
Y,DOE,0.95,40
N,CORPORATION,0.37247715893253497,38746
Y,CONDO/CO-OP,0.8899707887049659,1027
Y,INDIVIDUAL,0.8365081421968813,23151
N,NYC AGENCY,0.47815533980582525,1236
Y,NYC AGENCY,0.9465500485908649,1029
Y,NYCHA/HHC,0.9859154929577465,568
N,NY STATE,0.4528301886792453,106
Y,OTHER,0.9203634420096205,1871
N,NYCHA,0.3585237258347979,569
N,HPD,0.2845528455284553,246
Y,HHC,0.8064516129032258,31
Y,NY STATE,0.8,20
