proposed_no_of_stories,approval_rate,n
1,0.49082747010834377,23167
2,0.4817410312459817,46662
8,0.5327814569536424,3020
13,0.6097875080489376,1553
15,0.6761053154495777,2013
17,0.6418918918918919,1480
21,0.6816479400749064,1068
22,0.6763485477178424,723
32,0.6838006230529595,642
41,0.6791907514450867,346
70,0.7009803921568627,204
5,0.5336670055525142,12787
6,0.5527234353437779,12319
12,0.5564779874213837,3975
24,0.7178362573099415,684
27,0.6177105831533477,463
28,0.5917721518987342,316
30,0.6777163904235728,543
31,0.6498422712933754,634
43,0.595,400
48,0.6462882096069869,229
54,0.6463878326996197,263
0,0.4882064758938421,61644
11,0.5866364665911665,1766
16,0.658012533572068,2234
18,0.6818588025022342,1119
23,0.6465753424657534,730
34,0.687793427230047,426
35,0.7,390
36,0.6437125748502994,334
39,0.6430678466076696,339
42,0.6268656716417911,469
50,0.6092896174863388,366
4,0.4987160879758848,17914
7,0.5323955669224212,4692
9,0.5440340909090909,2112
10,0.5517410495340853,2039
14,0.6082711085582998,1741
19,0.6995850622406639,1205
29,0.6612466124661247,369
33,0.6443202979515829,537
37,0.6485507246376812,276
40,0.6916890080428955,373
3,0.4698345922172292,31377
20,0.7119078104993598,1562
25,0.6557161629434954,761
26,0.6458055925432756,751
38,0.685981308411215,535
