feature,non_null_rows
fire_alarm,11183
landmarked,235478
proposed_no_of_stories,251999
proposed_occupancy,160057
existing_occupancy,169093
gis_longitude,250447
building_class,248941
efiling_filed,146069
enlargement_sqft,251999
plumbing,80056
job_type,251999
proposed_height,251999
total_construction_floor_area,251999
gis_latitude,250447
sprinkler,23707
proposed_dwelling_units,129629
existing_zoning_sqft,251999
proposed_zoning_sqft,251999
boiler,5430
initial_cost,0
professional_cert,178382
street_frontage,251999
fire_suppression,2985
owner_type,243682
mechanical,35363
total_est_fee,0
equipment,26400
curb_cut,13094
pc_filed,86792
borough,251999
